year,cityid,g_private,reform,reformyear
2011,48,0.1078286,0,2017
2012,48,0.0540601,0,2017
2013,48,0.1202068,0,2017
2014,48,0.0466336,0,2017
2015,48,0.0256337,0,2017
2016,48,0.1964727,0,2017
2017,48,0.1693941,1,2017
2018,48,0.06633,1,2017
2004,49,0.1098763,0,2013
2005,49,0.2244781,0,2013
2006,49,0.2274329,0,2013
2007,49,0.0471577,0,2013
2008,49,0.2078895,0,2013
2009,49,-0.0760005,0,2013
2010,49,0.1927726,0,2013
2011,49,0.0474727,0,2013
2012,49,0.1754183,0,2013
2013,49,0.1183416,1,2013
2014,49,0.0795618,1,2013
2015,49,0.0732277,1,2013
2016,49,0.078535,1,2013
2017,49,0.0883173,1,2013
2018,49,0.0536637,1,2013
2004,50,0.1031964,0,2014
2005,50,0.2160985,0,2014
2006,50,0.0862965,0,2014
2007,50,0.0471577,0,2014
2008,50,0.2078895,0,2014
2009,50,-0.0760005,0,2014
2010,50,0.1927726,0,2014
2011,50,0.0474727,0,2014
2012,50,0.1754183,0,2014
2013,50,0.1183416,0,2014
2014,50,0.0795618,1,2014
2015,50,0.301179,1,2014
2016,50,-0.06424,1,2014
2017,50,0.203985,1,2014
2018,50,-0.0911831,1,2014
2004,51,0.1389123,0,2016
2005,51,0.2672109,0,2016
2006,51,0.421721,0,2016
2007,51,0.1266035,0,2016
2008,51,0.0344189,0,2016
2009,51,0.0816456,0,2016
2010,51,0.156082,0,2016
2011,51,0.0870611,0,2016
2012,51,0.0394316,0,2016
2013,51,0.2083053,0,2016
2014,51,0.0714473,0,2016
2015,51,0.0434336,0,2016
2016,51,0.1250687,1,2016
2017,51,0.1683323,1,2016
2018,51,0.1140108,1,2016
2004,52,0.1591673,0,2014
2005,52,0.3212954,0,2014
2006,52,0.4150263,0,2014
2007,52,0.2998372,0,2014
2008,52,0.1696938,0,2014
2009,52,0.1619817,0,2014
2010,52,0.0903988,0,2014
2011,52,0.0820069,0,2014
2012,52,0.0673056,0,2014
2013,52,-0.0607991,0,2014
2014,52,0.1215925,1,2014
2015,52,0.0168434,1,2014
2016,52,0.457628,1,2014
2017,52,-0.0136122,1,2014
2018,52,0.0991437,1,2014
2004,53,0.1491995,0,2015
2005,53,0.2366484,0,2015
2006,53,0.5043005,0,2015
2007,53,0.215244,0,2015
2008,53,0.3943254,0,2015
2009,53,0.1262316,0,2015
2010,53,0.0700847,0,2015
2011,53,0.0721827,0,2015
2012,53,-0.0694334,0,2015
2013,53,-0.0311461,0,2015
2014,53,0.1005353,0,2015
2015,53,0.117245,1,2015
2016,53,0.126197,1,2015
2017,53,0.1258949,1,2015
2018,53,0.1004828,1,2015
2004,54,0.1079511,0,2013
2005,54,0.0816879,0,2013
2006,54,0.1120823,0,2013
2007,54,0.3199711,0,2013
2008,54,0.170487,0,2013
2009,54,0.223514,0,2013
2010,54,0.1669828,0,2013
2011,54,-0.0354248,0,2013
2012,54,0.0735735,0,2013
2013,54,0.0294111,1,2013
2014,54,-0.0907645,1,2013
2015,54,0.1187543,1,2013
2016,54,0.1513167,1,2013
2017,54,0.0994458,1,2013
2018,54,0.0902778,1,2013
2004,55,0.11004,0,2015
2005,55,0.1939342,0,2015
2006,55,0.1992818,0,2015
2007,55,0.2712944,0,2015
2008,55,0.1144916,0,2015
2009,55,0.2318323,0,2015
2010,55,0.0747357,0,2015
2011,55,0.0521035,0,2015
2012,55,-0.1086265,0,2015
2013,55,0.2765381,0,2015
2014,55,0.1800778,0,2015
2015,55,0.1489846,1,2015
2016,55,0.0781861,1,2015
2017,55,0.0908106,1,2015
2018,55,-0.2630836,1,2015
2004,56,0.1590704,0,2017
2005,56,0.2143291,0,2017
2006,56,0.1674423,0,2017
2007,56,0.0879572,0,2017
2008,56,0.1807581,0,2017
2009,56,0.1021634,0,2017
2010,56,0.6261865,0,2017
2011,56,0.1316657,0,2017
2012,56,0.0148213,0,2017
2013,56,0.0593687,0,2017
2014,56,-0.0394445,0,2017
2015,56,0.1311559,0,2017
2016,56,0.1582247,0,2017
2017,56,0.1505945,1,2017
2018,56,0.2417628,1,2017
2004,57,0.1319798,0,2013
2005,57,0.3400287,0,2013
2006,57,0.3434424,0,2013
2007,57,0.2115661,0,2013
2008,57,0.1687346,0,2013
2009,57,0.2158369,0,2013
2010,57,0.1249859,0,2013
2011,57,0.099996,0,2013
2012,57,0.0580077,0,2013
2013,57,0.1308122,1,2013
2014,57,0.1176672,1,2013
2015,57,0.1003523,1,2013
2016,57,0.1126585,1,2013
2017,57,0.0867121,1,2013
2018,57,-0.2630836,1,2013
2004,58,0.152277,0,2014
2005,58,0.4676495,0,2014
2006,58,0.4229949,0,2014
2007,58,0.3043575,0,2014
2008,58,0.1340813,0,2014
2009,58,0.1136806,0,2014
2010,58,0.1691438,0,2014
